name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"bloomington, mn",2024-07-03,85.4,64.1,75.3,84.2,64.1,75.1,59.2,60.9,0,0,0,,0,0,28,16.2,261.2,1009.9,8.3,9.8,242.4,21,10,10,2024-07-03T05:32:45,2024-07-03T21:02:19,0.92,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-04,71,63.4,66.5,71,63.4,66.5,61,83.2,0.66,100,50,rain,0,0,20.8,11.6,95.2,1011.8,75.3,7.7,34.8,2.8,1,10,2024-07-04T05:33:24,2024-07-04T21:02:00,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-05,77.9,63.1,68.8,77.9,63.1,68.8,59.4,74.5,0.004,100,8.33,rain,0,0,31.1,12.8,353.8,1011,73.6,8,138.6,11.9,8,10,2024-07-05T05:34:04,2024-07-05T21:01:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-06,81.9,60.5,72.4,81.8,60.5,72.5,58.5,63.9,0,0,0,,0,0,21.9,14.2,187.2,1013.1,40.8,9.4,215.2,18.5,9,30,2024-07-06T05:34:46,2024-07-06T21:01:15,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-07,80.6,64.5,72.3,80.9,64.5,72.3,60.4,68,0.045,100,12.5,rain,0,0,31,14.1,230.3,1011.6,61.6,9.8,228.6,19.8,10,30,2024-07-07T05:35:30,2024-07-07T21:00:50,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-08,81.8,66.9,74.1,82.6,66.9,74.2,61.5,65.8,0.034,100,4.17,rain,0,0,19.7,10.4,277,1012.1,45.8,9.8,160.3,13.9,8,30,2024-07-08T05:36:15,2024-07-08T21:00:22,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-09,84.1,66,74.8,84.1,66,74.9,63,68.4,0.4,100,12.5,rain,0,0,51.7,9.3,317.7,1013.4,35.4,9.4,184.4,15.9,9,30,2024-07-09T05:37:01,2024-07-09T20:59:51,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-10,78.3,68.1,72.9,78.3,68.1,72.9,64,74.4,0.093,100,12.5,rain,0,0,29.6,14.2,322.3,1014.1,52.8,8.8,105.8,9,5,30,2024-07-10T05:37:49,2024-07-10T20:59:19,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-11,84.7,65.6,76.3,85.2,65.6,76.6,63,66.6,0,0,0,,0,0,8.1,6.1,198.2,1017.4,26.6,8.7,190,16.3,9,30,2024-07-11T05:38:38,2024-07-11T20:58:44,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-12,86.3,70.5,78.8,86.5,70.5,79,63.2,60.6,0,0,0,,0,0,21.3,13.2,181.3,1017,14.3,9.8,224.6,19.1,9,30,2024-07-12T05:39:29,2024-07-12T20:58:07,0.22,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
